name,url,rss,index
"Industrial and Engineering Chemistry, News Edition",http://pubs.acs.org/journal/iecnav,http://feeds.feedburner.com/acs/iecnav,http://pubs.acs.org/loi/iecnav
"News Edition, American Chemical Society",http://pubs.acs.org/journal/neaca9,http://feeds.feedburner.com/acs/neaca9,http://pubs.acs.org/loi/neaca9
C&EN Online,http://pubs.acs.org/cen/,idk,idk
Chemical Research in Toxicology,http://pubs.acs.org/journal/crtoec,http://feeds.feedburner.com/acs/crtoec,http://pubs.acs.org/loi/crtoec
Chemical Reviews,http://pubs.acs.org/journal/chreay,http://feeds.feedburner.com/acs/chreay,http://pubs.acs.org/loi/chreay
Chemistry of Materials,http://pubs.acs.org/journal/cmatex,http://feeds.feedburner.com/acs/cmatex,http://pubs.acs.org/loi/cmatex
Crystal Growth & Design,http://pubs.acs.org/journal/cgdefu,http://feeds.feedburner.com/acs/cgdefu,http://pubs.acs.org/loi/cgdefu
Energy & Fuels,http://pubs.acs.org/journal/enfuem,http://feeds.feedburner.com/acs/enfuem,http://pubs.acs.org/loi/enfuem
Environmental Science & Technology,http://pubs.acs.org/journal/esthag,http://feeds.feedburner.com/acs/esthag,http://pubs.acs.org/loi/esthag
Industrial & Engineering Chemistry,http://pubs.acs.org/journal/iechad,http://feeds.feedburner.com/acs/iechad,http://pubs.acs.org/loi/iechad
Journal of Industrial & Engineering Chemistry,http://pubs.acs.org/journal/iechad.1,http://feeds.feedburner.com/acs/iechad.1,http://pubs.acs.org/loi/iechad.1
Industrial & Engineering Chemistry Research,http://pubs.acs.org/journal/iecred,http://feeds.feedburner.com/acs/iecred,http://pubs.acs.org/loi/iecred
I&EC Product Research and Development,http://pubs.acs.org/journal/iepra6.2,http://feeds.feedburner.com/acs/iepra6.2,http://pubs.acs.org/loi/iepra6.2
Product R&D,http://pubs.acs.org/journal/iepra6.1,http://feeds.feedburner.com/acs/iepra6.1,http://pubs.acs.org/loi/iepra6.1
Industrial & Engineering Chemistry Product Research and Development,http://pubs.acs.org/journal/iepra6,http://feeds.feedburner.com/acs/iepra6,http://pubs.acs.org/loi/iepra6
Industrial & Engineering Chemistry Process Design and Development,http://pubs.acs.org/journal/iepdaw,http://feeds.feedburner.com/acs/iepdaw,http://pubs.acs.org/loi/iepdaw
Industrial & Engineering Chemistry Fundamentals,http://pubs.acs.org/journal/iecfa7,http://feeds.feedburner.com/acs/iecfa7,http://pubs.acs.org/loi/iecfa7
Inorganic Chemistry,http://pubs.acs.org/journal/inocaj,http://feeds.feedburner.com/acs/inocaj,http://pubs.acs.org/loi/inocaj
Journal of the American Chemical Society,http://pubs.acs.org/journal/jacsat,http://feeds.feedburner.com/acs/jacsat,http://pubs.acs.org/loi/jacsat
Journal of Agricultural and Food Chemistry,http://pubs.acs.org/journal/jafcau,http://feeds.feedburner.com/acs/jafcau,http://pubs.acs.org/loi/jafcau
Journal of Chemical & Engineering Data,http://pubs.acs.org/journal/jceaax,http://feeds.feedburner.com/acs/jceaax,http://pubs.acs.org/loi/jceaax
Industrial & Engineering Chemistry Chemical & Engineering Data Series,http://pubs.acs.org/journal/iecjc0,http://feeds.feedburner.com/acs/iecjc0,http://pubs.acs.org/loi/iecjc0
Journal of Chemical Education,http://pubs.acs.org/journal/jceda8,http://feeds.feedburner.com/acs/jceda8,http://pubs.acs.org/loi/jceda8
Division of Chemical Education,http://www.divched.org,idk,idk
Journal of Chemical Information and Modeling,http://pubs.acs.org/journal/jcisd8,http://feeds.feedburner.com/acs/jcisd8,http://pubs.acs.org/loi/jcisd8
Journal of Chemical Documentation,http://pubs.acs.org/journal/jci001,http://feeds.feedburner.com/acs/jci001,http://pubs.acs.org/loi/jci001
Journal of Chemical Information and Computer Sciences,http://pubs.acs.org/journal/jcics1,http://feeds.feedburner.com/acs/jcics1,http://pubs.acs.org/loi/jcics1
Journal of Chemical Theory and Computation,http://pubs.acs.org/journal/jctcce,http://feeds.feedburner.com/acs/jctcce,http://pubs.acs.org/loi/jctcce
Journal of Medicinal Chemistry,http://pubs.acs.org/journal/jmcmar,http://feeds.feedburner.com/acs/jmcmar,http://pubs.acs.org/loi/jmcmar
Journal of Medicinal and Pharmaceutical Chemistry,http://pubs.acs.org/journal/jmcmar.1,http://feeds.feedburner.com/acs/jmcmar.1,http://pubs.acs.org/loi/jmcmar.1
Journal of Natural Products,http://pubs.acs.org/journal/jnprdf,http://feeds.feedburner.com/acs/jnprdf,http://pubs.acs.org/loi/jnprdf
Am. Soc. of Pharmacognosy,http://www.phcog.org,idk,idk
The Journal of Organic Chemistry,http://pubs.acs.org/journal/joceah,http://feeds.feedburner.com/acs/joceah,http://pubs.acs.org/loi/joceah
The Journal of Physical Chemistry A,http://pubs.acs.org/journal/jpcafh,http://feeds.feedburner.com/acs/jpcafh,http://pubs.acs.org/loi/jpcafh
The Journal of Physical Chemistry,http://pubs.acs.org/journal/jpchax.2,http://feeds.feedburner.com/acs/jpchax.2,http://pubs.acs.org/loi/jpchax.2
The Journal of Physical and Colloid Chemistry,http://pubs.acs.org/journal/jpchax.1,http://feeds.feedburner.com/acs/jpchax.1,http://pubs.acs.org/loi/jpchax.1
The Journal of Physical Chemistry,http://pubs.acs.org/journal/jpchax,http://feeds.feedburner.com/acs/jpchax,http://pubs.acs.org/loi/jpchax
The Journal of Physical Chemistry B,http://pubs.acs.org/journal/jpcbfk,http://feeds.feedburner.com/acs/jpcbfk,http://pubs.acs.org/loi/jpcbfk
The Journal of Physical Chemistry,http://pubs.acs.org/journal/jpchax.2,http://feeds.feedburner.com/acs/jpchax.2,http://pubs.acs.org/loi/jpchax.2
The Journal of Physical and Colloid Chemistry,http://pubs.acs.org/journal/jpchax.1,http://feeds.feedburner.com/acs/jpchax.1,http://pubs.acs.org/loi/jpchax.1
The Journal of Physical Chemistry,http://pubs.acs.org/journal/jpchax,http://feeds.feedburner.com/acs/jpchax,http://pubs.acs.org/loi/jpchax
The Journal of Physical Chemistry C,http://pubs.acs.org/journal/jpccck,http://feeds.feedburner.com/acs/jpccck,http://pubs.acs.org/loi/jpccck
The Journal of Physical Chemistry Letters,http://pubs.acs.org/journal/jpclcd,http://feeds.feedburner.com/acs/jpclcd,http://pubs.acs.org/loi/jpclcd
Journal of Proteome Research,http://pubs.acs.org/journal/jprobs,http://feeds.feedburner.com/acs/jprobs,http://pubs.acs.org/loi/jprobs
Langmuir,http://pubs.acs.org/journal/langd5,http://feeds.feedburner.com/acs/langd5,http://pubs.acs.org/loi/langd5
Macromolecules,http://pubs.acs.org/journal/mamobx,http://feeds.feedburner.com/acs/mamobx,http://pubs.acs.org/loi/mamobx
Molecular Pharmaceutics,http://pubs.acs.org/journal/mpohbp,http://feeds.feedburner.com/acs/mpohbp,http://pubs.acs.org/loi/mpohbp
Nano Letters,http://pubs.acs.org/journal/nalefd,http://feeds.feedburner.com/acs/nalefd,http://pubs.acs.org/loi/nalefd
Organic Letters,http://pubs.acs.org/journal/orlef7,http://feeds.feedburner.com/acs/orlef7,http://pubs.acs.org/loi/orlef7
Organic Process Research & Development,http://pubs.acs.org/journal/oprdfk,http://feeds.feedburner.com/acs/oprdfk,http://pubs.acs.org/loi/oprdfk
Organometallics,http://pubs.acs.org/journal/orgnd7,http://feeds.feedburner.com/acs/orgnd7,http://pubs.acs.org/loi/orgnd7
American Imago,http://www.press.jhu.edu/journals/american_imago,http://feeds.muse.jhu.edu/journals/american_imago/latest_articles.xml,http://muse.jhu.edu/journals/american_imago/
American Jewish History,http://www.press.jhu.edu/journals/american_jewish_history,http://feeds.muse.jhu.edu/journals/american_jewish_history/latest_articles.xml,http://muse.jhu.edu/journals/american_jewish_history/
American Journal of Mathematics,http://www.press.jhu.edu/journals/american_journal_of_mathematics,http://feeds.muse.jhu.edu/journals/american_journal_of_mathematics/latest_articles.xml,http://muse.jhu.edu/journals/american_journal_of_mathematics/
American Journal of Philology,http://www.press.jhu.edu/journals/american_journal_of_philology,http://feeds.muse.jhu.edu/journals/american_journal_of_philology/latest_articles.xml,http://muse.jhu.edu/journals/american_journal_of_philology/
American Quarterly,http://www.press.jhu.edu/journals/american_quarterly,http://feeds.muse.jhu.edu/journals/american_quarterly/latest_articles.xml,http://muse.jhu.edu/journals/american_quarterly/
Arethusa,http://www.press.jhu.edu/journals/arethusa,http://feeds.muse.jhu.edu/journals/arethusa/latest_articles.xml,http://muse.jhu.edu/journals/arethusa/
Better: Evidence-based Education,http://www.press.jhu.edu/journals/better_evidence_based_education,idk,http://muse.jhu.edu/journals/better_evidence_based_education/
Book History,http://www.press.jhu.edu/journals/book_history,http://feeds.muse.jhu.edu/journals/book_history/latest_articles.xml,http://muse.jhu.edu/journals/book_history/
Bookbird: A Journal of International Children's Literature,http://www.press.jhu.edu/journals/bookbird,idk,http://muse.jhu.edu/journals/bookbird/
The Bulletin of the Center for Children's Books,http://www.press.jhu.edu/journals/bulletin_of_the_center_for_childrens_books,http://feeds.muse.jhu.edu/journals/bulletin_of_the_center_for_childrens_books/latest_articles.xml,http://muse.jhu.edu/journals/bulletin_of_the_center_for_childrens_books/
Bulletin of the History of Medicine,http://www.press.jhu.edu/journals/bulletin_of_the_history_of_medicine,http://feeds.muse.jhu.edu/journals/bulletin_of_the_history_of_medicine/latest_articles.xml,http://muse.jhu.edu/journals/bulletin_of_the_history_of_medicine/
Callaloo,http://www.press.jhu.edu/journals/callaloo,http://feeds.muse.jhu.edu/journals/callaloo/latest_articles.xml,http://muse.jhu.edu/journals/callaloo/
Children's Literature Association Quarterly,http://www.press.jhu.edu/journals/childrens_literature_association_quarterly,http://feeds.muse.jhu.edu/journals/childrens_literature_association_quarterly/latest_articles.xml,http://muse.jhu.edu/journals/childrens_literature_association_quarterly/
Children's Literature,http://www.press.jhu.edu/journals/childrens_literature,http://feeds.muse.jhu.edu/journals/childrens_literature/latest_articles.xml,http://muse.jhu.edu/journals/childrens_literature/
